Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, Masovian;Specializations:AI/ML, IT admin;trainee;contract of mandate, internship / apprenticeship contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:QA/Testing;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B, umowa na zastêpstwo;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Big Data / Data Science;senior specialist (Senior), expert;contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Business analytics, System analytics;senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Gdañsk, pomorskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Full-stack;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:QA/Testing;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:Frontend, QA/Testing, Security;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Gdynia, Pomeranian;Specializations:Project Management;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;expert;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Full-stack;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Security;expert;contract of employment;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Gdynia, Pomeranian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Gdynia, Pomeranian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Katowice, œl¹skie;Specjalizacje:Helpdesk, Security;m³odszy specjalista (Junior);umowa zlecenie;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:System analytics;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Bogdanka (pow. ³êczyñski), lubelskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Kraków, ma³opolskie;Specjalizacje:Product Management;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:QA/Testing;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;;junior specialist (Junior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator, mened¿er;umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Architecture, Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Architecture;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Big Data / Data Science;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:Architecture, IT admin;expert;contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê tymczasow¹;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin;specialist (Mid / Regular), junior specialist (Junior);contract of employment, B2B contract;full-time;full office work
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin;junior specialist (Junior);contract of employment, B2B contract;full-time;full office work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:Frontend;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:Backend, Big Data / Data Science;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Katowice, œl¹skie;Specjalizacje:QA/Testing;kierownik / koordynator;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Rakowice Ma³e (pow. lwówecki), dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:UX/UI;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Project Management;specialist (Mid / Regular), senior specialist (Senior);B2B contract;part time, additional / temporary;home office work, hybrid work
Wroc³aw, dolnoœl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:DevOps;m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:System analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Frontend;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, home office work, hybrid work
Polkowice, dolnoœl¹skie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Legnica, dolnoœl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Architecture, Big Data / Data Science;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);B2B contract;full-time;hybrid work
Mielec, podkarpackie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wasilków, Podlaskie;;specialist (Mid / Regular);contract of employment;full-time;full office work, home office work, hybrid work
Warszawa, Masovian;Specializations:Business analytics, System analytics;trainee;contract of mandate;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:DevOps;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin, System analytics;specialist (Mid / Regular);contract of employment;full-time;full office work, home office work, hybrid work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:DevOps;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, pomorskie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Big Data / Data Science, IT admin;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin, Product Management, Project Management;team manager;contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:IT admin;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, Lesser Poland;;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
£ódŸ, ³ódzkie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:AI/ML, Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;full office work
Warszawa, Masovian;Specializations:Backend, QA/Testing;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna, praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Business analytics;senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Business analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Katowice, œl¹skie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, dolnoœl¹skie;Specjalizacje:Mobile;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, œl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Grudzi¹dz, kujawsko-pomorskie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna
£ódŸ, £ódŸ;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:QA/Testing;senior specialist (Senior), expert;contract of employment, B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:Project Management;mened¿er;umowa o pracê, umowa o sta¿ / praktyki;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Project Management;mened¿er;kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture;senior specialist (Senior);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:UX/UI;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:IT admin, Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Architecture, DevOps;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;;ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Gdañsk, Pomeranian;Specializations:Backend, QA/Testing;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:Backend, Frontend, Full-stack;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Helpdesk;manager / supervisor;contract of employment;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular);contract of employment;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:Frontend;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;full office work, hybrid work
£ódŸ, £ódŸ;Specializations:Product Management;manager / supervisor;contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Business analytics, Security;team manager;B2B contract;full-time;hybrid work
Gdañsk, Pomeranian;;specialist (Mid / Regular);contract of employment;full-time;home office work
£ódŸ, £ódŸ;Specializations:Agile, DevOps;director;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Agile, Backend, Frontend, Full-stack, Mobile;mened¿er;umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Security;team manager;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Poznañ, Greater Poland;Specializations:Big Data / Data Science, Business analytics, System analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Frontend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Katowice, œl¹skie;Specjalizacje:Architecture;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Modlniczka (pow. krakowski), ma³opolskie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Project Management;senior specialist (Senior), expert;B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:IT admin, Mobile;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Konstancin-Jeziorna, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;home office work, hybrid work
Gdañsk, pomorskie;;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Gdynia, Pomeranian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Security;junior specialist (Junior);B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;full office work
Kraków, ma³opolskie;Specjalizacje:QA/Testing;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Mobile;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;team manager;contract of employment;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Gdañsk, pomorskie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Backend, Big Data / Data Science;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:DevOps;senior specialist (Senior);contract of employment;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Full-stack;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, Lower Silesia;Specializations:UX/UI;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Warszawa, Masovian;Specializations:DevOps, Full-stack;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Full-stack;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:UX/UI;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Poznañ, Greater Poland;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Poznañ, Greater Poland;Specializations:Business analytics, Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Poznañ, wielkopolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, umowa zlecenie, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna
Poznañ, Greater Poland;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:AI/ML, DevOps, Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Project Management;kierownik / koordynator;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:SAP&ERP;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Agile, SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Poznañ, Greater Poland;Specializations:Product Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Gdynia, Pomeranian;Specializations:AI/ML;specialist (Mid / Regular);B2B contract;full-time;home office work, hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:Helpdesk;praktykant / sta¿ysta;umowa o sta¿ / praktyki;dodatkowa / tymczasowa;praca zdalna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:UX/UI;starszy specjalista (Senior), ekspert;umowa o dzie³o, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Poznañ, wielkopolskie;Specjalizacje:System analytics;starszy specjalista (Senior), ekspert;umowa o dzie³o, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Poznañ, wielkopolskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Backend, Project Management;manager / supervisor, team manager;contract of employment;full-time;home office work
Warszawa, mazowieckie;;asystent, m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Backend, Project Management;manager / supervisor, team manager;contract of employment;full-time;home office work
Kraków, Lesser Poland;Specializations:Project Management, SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:Project Management, SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Toruñ, kujawsko-pomorskie;Specjalizacje:Architecture;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:System analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Rzeszów, podkarpackie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Gdynia, pomorskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Bydgoszcz, Kuyavia-Pomerania;Specializations:SAP&ERP;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work
Nadarzyn (pow. pruszkowski), mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Project Management;junior specialist (Junior);contract of employment, contract of mandate;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior);B2B contract;full-time;home office work
Czêstochowa, œl¹skie;Specjalizacje:Backend, Frontend, Full-stack;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Business analytics, Project Management;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Zielona Góra, lubuskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
